DISTRICT,YEAR,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,heatwave_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,heatwave_days_lag1,temp_range_stddev_lag1
baglung,1993,14.03068493150685,20.21076712328767,2.9822311756277955,549.83,49.574027397260274,2.3162191780821915,0,-0.9250169469988384,13.896994535519125,602.4,-0.8212005325841073,0.0,3.0685031205058158
baglung,1994,14.251726027397261,20.527013698630135,3.0214697545475504,512.43,48.811123287671236,2.3492876712328767,0,-0.9988753053612307,14.03068493150685,549.83,-0.9250169469988384,0.0,2.9822311756277955
baglung,1995,13.979917808219179,20.051260273972602,3.124113585678599,622.74,51.4611506849315,2.3363561643835618,0,-0.7810326446404962,14.251726027397261,512.43,-0.9988753053612307,0.0,3.0214697545475504
baglung,1996,13.957021857923499,19.925819672131148,3.360749466943993,633.4399999999999,52.97068306010929,2.26896174863388,0,-0.7599020447881542,13.979917808219179,622.74,-0.7810326446404962,0.0,3.124113585678599
baglung,1997,13.571808219178083,19.856931506849314,2.641627737250815,324.82,48.95994520547946,2.3724109589041094,0,-1.3693717388470161,13.957021857923499,633.4399999999999,-0.7599020447881542,0.0,3.360749466943993
baglung,1998,14.448575342465752,20.50131506849315,3.0611940304506735,673.85,53.719369863013696,2.2944109589041095,0,-0.6800994709532807,13.571808219178083,324.82,-1.3693717388470161,0.0,2.641627737250815
baglung,1999,14.755863013698631,21.155424657534244,3.1300974555576677,405.40000000000003,47.26517808219178,2.376849315068493,0,-1.2102405485571346,14.448575342465752,673.85,-0.6800994709532807,0.0,3.0611940304506735
baglung,2000,13.842786885245902,19.775546448087432,3.122683962415417,685.46,52.739043715847,2.280327868852459,0,-0.6571717827022814,14.755863013698631,405.40000000000003,-1.2102405485571346,0.0,3.1300974555576677
baglung,2001,14.27958904109589,20.287698630136987,2.890536888614427,618.17,52.61005479452054,2.2496712328767123,0,-0.790057583082104,13.842786885245902,685.46,-0.6571717827022814,0.0,3.122683962415417
baglung,2002,14.439315068493151,20.722328767123287,2.3640866207064453,372.79,49.6688493150685,2.3276438356164384,0,-1.2746395075463757,14.27958904109589,618.17,-0.790057583082104,0.0,2.890536888614427
baglung,2003,14.163232876712328,20.30994520547945,2.918464960716612,472.62,51.51758904109589,2.30027397260274,0,-1.07749298574644,14.439315068493151,372.79,-1.2746395075463757,0.0,2.3640866207064453
baglung,2004,13.73396174863388,19.198961748633877,3.099268838191854,1213.16,60.35133879781421,2.126256830601093,0,0.3849420062772449,14.163232876712328,472.62,-1.07749298574644,0.0,2.918464960716612
baglung,2005,13.52868493150685,18.996191780821917,3.0321323079611977,1195.41,60.62698630136986,2.107671232876712,0,0.3498889083913503,13.73396174863388,1213.16,0.3849420062772449,0.0,3.099268838191854
baglung,2006,13.826575342465754,19.175561643835618,2.871098173567747,1188.05,63.183150684931505,2.0672602739726025,0,0.33535421540880445,13.52868493150685,1195.41,0.3498889083913503,0.0,3.0321323079611977
baglung,2007,13.526301369863015,18.77917808219178,2.90207878848866,1383.19,64.98712328767122,2.050849315068493,0,0.7207210616878738,13.826575342465754,1188.05,0.33535421540880445,0.0,2.871098173567747
baglung,2008,13.449098360655737,18.547568306010927,3.1292449383633705,1670.57,65.42147540983606,2.0439890710382516,0,1.2882455276286282,13.526301369863015,1383.19,0.7207210616878738,0.0,2.90207878848866
baglung,2009,14.117342465753424,19.72884931506849,2.985953709356221,1054.88,58.71591780821918,2.165041095890411,0,0.0723671142558703,13.449098360655737,1670.57,1.2882455276286282,0.0,3.1292449383633705
baglung,2010,14.445369863013699,20.012054794520548,3.336792891556811,1106.79,59.270931506849315,2.2297808219178084,0,0.17488014587597084,14.117342465753424,1054.88,0.0723671142558703,0.0,2.985953709356221
baglung,2011,13.436465753424658,18.610931506849315,2.9510661606052073,1262.39,65.0206301369863,2.097095890410959,0,0.48216251382217973,14.445369863013699,1106.79,0.17488014587597084,0.0,3.336792891556811
baglung,2012,13.517486338797813,19.078142076502733,3.105204196631381,1426.93,59.93379781420765,2.2175136612021857,0,0.8070997941683825,13.436465753424658,1262.39,0.48216251382217973,0.0,2.9510661606052073
baglung,2013,13.344054794520547,18.47531506849315,3.1855759642480974,1894.31,68.31010958904109,2.1161095890410957,0,1.73009229500835,13.517486338797813,1426.93,0.8070997941683825,0.0,3.105204196631381
baglung,2014,13.604794520547944,18.702684931506848,2.892976508187211,1982.75,65.93484931506849,2.1109315068493153,0,1.90474558948883,13.344054794520547,1894.31,1.73009229500835,0.0,3.1855759642480974
baglung,2015,13.394383561643835,18.359698630136986,2.745041165639187,1963.95,68.66041095890411,2.034054794520548,0,1.8676189280660236,13.604794520547944,1982.75,1.90474558948883,0.0,2.892976508187211
baglung,2016,14.223579234972677,19.26051912568306,3.0641288953659807,1909.99,64.03773224043717,2.100846994535519,0,1.7610575104929038,13.394383561643835,1963.95,1.8676189280660236,0.0,2.745041165639187
baglung,2017,13.995890410958904,18.942794520547945,2.9150896821341266,1879.01,66.94720547945205,2.06986301369863,0,1.699877512041917,14.223579234972677,1909.99,1.7610575104929038,0.0,3.0641288953659807
baglung,2018,13.491780821917809,18.546383561643836,2.7895099440284867,1607.33,66.294301369863,2.06227397260274,0,1.163357758034038,13.995890410958904,1879.01,1.699877512041917,0.0,2.9150896821341266
baglung,2019,13.266876712328767,18.221808219178083,3.0694130281697403,1875.5,69.77830136986302,2.038219178082192,0,1.6929458853613824,13.491780821917809,1607.33,1.163357758034038,0.0,2.7895099440284867
baitadi,1982,9.196109589041095,15.464164383561645,2.756258967952645,498.68,57.50556164383561,2.2844109589041093,0,-0.3836703662390255,9.222082191780821,765.09,0.8020178672501095,0.0,3.2336297293993552
baitadi,1983,9.140575342465754,15.512958904109588,2.891753400350029,587.93,54.23408219178082,2.291342465753425,0,0.013546986108503562,9.196109589041095,498.68,-0.3836703662390255,0.0,2.756258967952645
baitadi,1984,9.696284153005465,16.387021857923497,3.235402921627282,425.51,50.97857923497268,2.3990983606557377,0,-0.7093218359451177,9.140575342465754,587.93,0.013546986108503562,0.0,2.891753400350029
baitadi,1985,9.751424657534246,16.24980821917808,3.5123624110359,569.23,53.580602739726025,2.3488767123287673,0,-0.0696795067643118,9.696284153005465,425.51,-0.7093218359451177,0.0,3.235402921627282
baitadi,1986,9.259643835616439,15.74032876712329,2.9861242435458917,596.09,52.36164383561644,2.3270958904109587,0,0.04986400118027804,9.751424657534246,569.23,-0.0696795067643118,0.0,3.5123624110359
baitadi,1987,10.559479452054795,17.709123287671233,2.5182388498736175,276.71,43.26849315068493,2.4276164383561647,0,-1.3715732872539397,9.259643835616439,596.09,0.04986400118027804,0.0,2.9861242435458917
baitadi,1988,10.426202185792349,16.98204918032787,3.3766159691470734,531.97,51.5961475409836,2.358087431693989,0,-0.23550940646704502,10.559479452054795,276.71,-1.3715732872539397,0.0,2.5182388498736175
baitadi,1989,9.867260273972603,16.815342465753425,2.911337461570498,255.84,45.20257534246575,2.4168219178082193,0,-1.4644576137916756,10.426202185792349,531.97,-0.23550940646704502,0.0,3.3766159691470734
baitadi,1990,10.262054794520548,16.58367123287671,3.0297101932669914,421.79,53.47657534246576,2.3196438356164384,0,-0.7258781222278381,9.867260273972603,255.84,-1.4644576137916756,0.0,2.911337461570498
baitadi,1991,10.02186301369863,16.789315068493153,2.9154995048254353,301.4,47.95386301369863,2.4025753424657537,0,-1.2616876129742702,10.262054794520548,421.79,-0.7258781222278381,0.0,3.0297101932669914
baitadi,1992,10.03415300546448,16.80745901639344,2.771486617361671,302.15,48.126311475409835,2.3994262295081965,0,-1.2583496520301733,10.02186301369863,301.4,-1.2616876129742702,0.0,2.9154995048254353
